Eticheta;Microadresa MPM (decimal);Microadresa MPM (hexa);Cod microinstructiune (hexa);Sursa SBUS;Sursa DBUS;Operatie ALU;Destinatie RBUS;Operatii cu Memoria;Alte Operatii;Succesor;Selectie INDEX;True negat/False;Microadresa de salt;Sursa SBUS;Sursa DBUS;Operatie ALU;Destinatie RBUS;Operatii cu Memoria;Alte Operatii;Succesor;Selectie INDEX;True negat/False;Microadresa de salt;Cod microinstructiune (binar)
;;;;MIR 35 … 32;MIR 31 … 28;MIR 27 … 24;MIR 23 … 20;MIR 19 … 18;MIR 17 … 14;MIR 13 … 11;MIR 10 … 8;MIR 7;MIR 6 … 0;35 … 32;31 … 28;27 … 24;23 … 20;19 … 18;17 … 14;13 … 11;10 … 8;7;6 … 0;
JMP_AX_z:;88;0x58;0x923600F00;PdMDRs: 1001;PdRGd: 0010;SUM: 0011;PmPC: 0110;NONE: 00;NONE: 0000;JUMPI: 001;INDEX7: 111;T: 0;IFCH: 0000000;1001;0010;0011;0110;00;0000;001;111;0;0000000;100100100011011000000000111100000000
JMP_AM_2:;89;0x59;0x953600F00;PdMDRs: 1001;PdPCd: 0101;SUM: 0011;PmPC: 0110;NONE: 00;NONE: 0000;JUMPI: 001;INDEX7: 111;T: 0;IFCH: 0000000;1001;0101;0011;0110;00;0000;001;111;0;0000000;100101010011011000000000111100000000
CLC;90;0x5A;0x1A5100F00;PdFLAGs: 0001;PdIR [7…0]d: 1010;AND: 0101;PmFLAG: 0001;NONE: 00;NONE: 0000;JUMPI: 001;INDEX7: 111;T: 0;IFCH: 0000000;0001;1010;0101;0001;00;0000;001;111;0;0000000;000110100101000100000000111100000000
CLC_z:;91;0x5B;0x000000000;NONE: 0000;NONE: 0000;NONE: 0000;NONE: 0000;NONE: 00;NONE: 0000;STEP: 000;INDEX0: 000;T: 0;0: 0000000;0000;0000;0000;0000;00;0000;000;000;0;0000000;000000000000000000000000000000000000
SEC:;92;0x5C;0x1A6100F00;PdFLAGs: 0001;PdIR [7…0]d: 1010;OR: 0110;PmFLAG: 0001;NONE: 00;NONE: 0000;JUMPI: 001;INDEX7: 111;T: 0;IFCH: 0000000;0001;1010;0110;0001;00;0000;001;111;0;0000000;000110100110000100000000111100000000
SEC_z:;93;0x5D;0x000000000;NONE: 0000;NONE: 0000;NONE: 0000;NONE: 0000;NONE: 00;NONE: 0000;STEP: 000;INDEX0: 000;T: 0;0: 0000000;0000;0000;0000;0000;00;0000;000;000;0;0000000;000000000000000000000000000000000000
NOP:;94;0x5E;0x000000F00;NONE: 0000;NONE: 0000;NONE: 0000;NONE: 0000;NONE: 00;NONE: 0000;JUMPI: 001;INDEX7: 111;T: 0;IFCH: 0000000;0000;0000;0000;0000;00;0000;001;111;0;0000000;000000000000000000000000111100000000
;95;0x5F;0x000000000;NONE: 0000;NONE: 0000;NONE: 0000;NONE: 0000;NONE: 00;NONE: 0000;STEP: 000;INDEX0: 000;T: 0;0: 0000000;0000;0000;0000;0000;00;0000;000;000;0;0000000;000000000000000000000000000000000000
HALT:;96;0x60;0x00002C000;NONE: 0000;NONE: 0000;NONE: 0000;NONE: 0000;NONE: 00;A(0)BPO: 1011;STEP: 000;INDEX0: 000;T: 0;0: 0000000;0000;0000;0000;0000;00;1011;000;000;0;0000000;000000000000000000101100000000000000
;97;0x61;0x000000000;NONE: 0000;NONE: 0000;NONE: 0000;NONE: 0000;NONE: 00;NONE: 0000;STEP: 000;INDEX0: 000;T: 0;0: 0000000;0000;0000;0000;0000;00;0000;000;000;0;0000000;000000000000000000000000000000000000
EI:;98;0x62;0x000024F00;NONE: 0000;NONE: 0000;NONE: 0000;NONE: 0000;NONE: 00;A(1)BVI: 1001;JUMPI: 001;INDEX7: 111;T: 0;IFCH: 0000000;0000;0000;0000;0000;00;1001;001;111;0;0000000;000000000000000000100100111100000000
;99;0x63;0x000000000;NONE: 0000;NONE: 0000;NONE: 0000;NONE: 0000;NONE: 00;NONE: 0000;STEP: 000;INDEX0: 000;T: 0;0: 0000000;0000;0000;0000;0000;00;0000;000;000;0;0000000;000000000000000000000000000000000000
DI:;100;0x64;0x000028800;NONE: 0000;NONE: 0000;NONE: 0000;NONE: 0000;NONE: 00;A(0)BVI: 1010;JUMPI: 001;INDEX0: 000;T: 0;IFCH: 0000000;0000;0000;0000;0000;00;1010;001;000;0;0000000;000000000000000000101000100000000000
;101;0x65;0x000000000;NONE: 0000;NONE: 0000;NONE: 0000;NONE: 0000;NONE: 00;NONE: 0000;STEP: 000;INDEX0: 000;T: 0;0: 0000000;0000;0000;0000;0000;00;0000;000;000;0;0000000;000000000000000000000000000000000000
PUSH PC:;102;0x66;0x301808000;PdSPs: 0011;NONE: 0000;SBUS: 0001;PmADR: 1000;NONE: 00;-2SP: 0010;STEP: 000;INDEX0: 000;T: 0;0: 0000000;0011;0000;0001;1000;00;0010;000;000;0;0000000;001100000001100000001000000000000000
PUSH PC_z:;103;0x67;0x6019C0F00;PdPCs: 0110;NONE: 0000;SBUS: 0001;PmMDR: 1001;WRITE: 11;NONE: 0000;JUMPI: 001;INDEX7: 111;T: 0;IFCH: 0000000;0110;0000;0001;1001;11;0000;001;111;0;0000000;011000000001100111000000111100000000
POP PC:;104;0x68;0x301880000;PdSPs: 0011;NONE: 0000;SBUS: 0001;PmADR: 1000;READ: 10;NONE: 0000;STEP: 000;INDEX0: 000;T: 0;0: 0000000;0011;0000;0001;1000;10;0000;000;000;0;0000000;001100000001100010000000000000000000
POP PC_z:;105;0x69;0x901604F00;PdMDRs: 1001;NONE: 0000;SBUS: 0001;PmPC: 0110;NONE: 00;+2SP: 0001;JUMPI: 001;INDEX7: 111;T: 0;IFCH: 0000000;1001;0000;0001;0110;00;0001;001;111;0;0000000;100100000001011000000100111100000000
PUSH FLAG:;106;0x6A;0x301808000;PdSPs: 0011;NONE: 0000;SBUS: 0001;PmADR: 1000;NONE: 00;-2SP: 0010;STEP: 000;INDEX0: 000;T: 0;0: 0000000;0011;0000;0001;1000;00;0010;000;000;0;0000000;001100000001100000001000000000000000
PUSH FLAG_z:;107;0x6B;0x1019C0F00;PdFLAGs: 0001;NONE: 0000;SBUS: 0001;PmMDR: 1001;WRITE: 11;NONE: 0000;JUMPI: 001;INDEX7: 111;T: 0;IFCH: 0000000;0001;0000;0001;1001;11;0000;001;111;0;0000000;000100000001100111000000111100000000
POP FLAG:;108;0x6C;0x301880000;PdSPs: 0011;NONE: 0000;SBUS: 0001;PmADR: 1000;READ: 10;NONE: 0000;STEP: 000;INDEX0: 000;T: 0;0: 0000000;0011;0000;0001;1000;10;0000;000;000;0;0000000;001100000001100010000000000000000000
POP FLAG_z:;109;0x6D;0x901104F00;PdMDRs: 1001;NONE: 0000;SBUS: 0001;PmFLAG: 0001;NONE: 00;+2SP: 0001;JUMPI: 001;INDEX7: 111;T: 0;IFCH: 0000000;1001;0000;0001;0001;00;0001;001;111;0;0000000;100100000001000100000100111100000000
RET:;110;0x6E;0x301880000;PdSPs: 0011;NONE: 0000;SBUS: 0001;PmADR: 1000;READ: 10;NONE: 0000;STEP: 000;INDEX0: 000;T: 0;0: 0000000;0011;0000;0001;1000;10;0000;000;000;0;0000000;001100000001100010000000000000000000
RET_z:;111;0x6F;0x901604F00;PdMDRs: 1001;NONE: 0000;SBUS: 0001;PmPC: 0110;NONE: 00;+2SP: 0001;JUMPI: 001;INDEX7: 111;T: 0;IFCH: 0000000;1001;0000;0001;0110;00;0001;001;111;0;0000000;100100000001011000000100111100000000
IRET:;112;0x70;0x301880000;PdSPs: 0011;NONE: 0000;SBUS: 0001;PmADR: 1000;READ: 10;NONE: 0000;STEP: 000;INDEX0: 000;T: 0;0: 0000000;0011;0000;0001;1000;10;0000;000;000;0;0000000;001100000001100010000000000000000000
IRET_z:;113;0x71;0x901604000;PdMDRs: 1001;NONE: 0000;SBUS: 0001;PmPC: 0110;NONE: 00;+2SP: 0001;STEP: 000;INDEX0: 000;T: 0;0: 0000000;1001;0000;0001;0110;00;0001;000;000;0;0000000;100100000001011000000100000000000000
IRET_z:;114;0x72;0x301880000;PdSPs: 0011;NONE: 0000;SBUS: 0001;PmADR: 1000;READ: 10;NONE: 0000;STEP: 000;INDEX0: 000;T: 0;0: 0000000;0011;0000;0001;1000;10;0000;000;000;0;0000000;001100000001100010000000000000000000
IRET_z:;115;0x73;0x901104F00;PdMDRs: 1001;NONE: 0000;SBUS: 0001;PmFLAG: 0001;NONE: 00;+2SP: 0001;JUMPI: 001;INDEX7: 111;T: 0;IFCH: 0000000;1001;0000;0001;0001;00;0001;001;111;0;0000000;100100000001000100000100111100000000
