Eticheta;Microadresa MPM (decimal);Microadresa MPM (hexa);Cod microinstructiune (hexa);Sursa SBUS;Sursa DBUS;Operatie ALU;Destinatie RBUS;Operatii cu Memoria;Alte Operatii;Succesor;Selectie INDEX;True negat/False;Microadresa de salt;Sursa SBUS;Sursa DBUS;Operatie ALU;Destinatie RBUS;Operatii cu Memoria;Alte Operatii;Succesor;Selectie INDEX;True negat/False;Microadresa de salt;Cod microinstructiune (binar)
;;;;MIR 35 … 32;MIR 31 … 28;MIR 27 … 24;MIR 23 … 20;MIR 19 … 18;MIR 17 … 14;MIR 13 … 11;MIR 10 … 8;MIR 7;MIR 6 … 0;35 … 32;31 … 28;27 … 24;23 … 20;19 … 18;17 … 14;13 … 11;10 … 8;7;6 … 0;
FOSEND:;19;0x13;0x901500B14;PdMDRs: 1001;NONE: 0000;SBUS: 0001;PmT: 0101;NONE: 00;NONE: 0000;JUMPI: 001;INDEX3: 011;T: 0;FOD_AM_B1: 0010100;1001;0000;0001;0101;00;0000;001;011;0;0010100;100100000001010100000000101100010100
FOD_AM_B1:;20;0x14;0x000000802;NONE: 0000;NONE: 0000;NONE: 0000;NONE: 0000;NONE: 00;NONE: 0000;JUMPI: 001;INDEX0: 000;T: 0;ILLEGAL: 0000010;0000;0000;0000;0000;00;0000;001;000;0;0000010;000000000000000000000000100000000010
FOD_AD_B1:;21;0x15;0x022900C1E;NONE: 0000;PdRGd: 0010;DBUS: 0010;PmMDR: 1001;NONE: 00;NONE: 0000;JUMPI: 001;INDEX4: 100;T: 0;MOV: 0011110;0000;0010;0010;1001;00;0000;001;100;0;0011110;000000100010100100000000110000011110
FOD_AI_B1:;22;0x16;0x022880C1E;NONE: 0000;PdRGd: 0010;DBUS: 0010;PmADR: 1000;READ: 10;NONE: 0000;JUMPI: 001;INDEX4: 100;T: 0;MOV: 0011110;0000;0010;0010;1000;10;0000;001;100;0;0011110;000000100010100010000000110000011110
FOD_AX_B1:;23;0x17;0x06288C000;NONE: 0000;PdPCd: 0110;DBUS: 0010;PmADR: 1000;READ: 10;+2PC: 0011;STEP: 000;INDEX0: 000;T: 0;0: 0000000;0000;0110;0010;1000;10;0011;000;000;0;0000000;000001100010100010001100000000000000
FOD_AX_B1_z:;24;0x18;0x923880C1E;PdMDRs: 1001;PdRGd: 0010;SUM: 0011;PmADR: 1000;READ: 10;NONE: 0000;JUMPI: 001;INDEX4: 100;T: 0;MOV: 0011110;1001;0010;0011;1000;10;0000;001;100;0;0011110;100100100011100010000000110000011110
FOD_AM_B2:;25;0x19;0x000000802;NONE: 0000;NONE: 0000;NONE: 0000;NONE: 0000;NONE: 00;NONE: 0000;JUMPI: 001;INDEX0: 000;T: 0;ILLEGAL: 0000010;0000;0000;0000;0000;00;0000;001;000;0;0000010;000000000000000000000000100000000010
FOD_AD_B2:;26;0x1A;0x022900D25;NONE: 0000;PdRGd: 0010;DBUS: 0010;PmMDR: 1001;NONE: 00;NONE: 0000;JUMPI: 001;INDEX5: 101;T: 0;CLR: 0100101;0000;0010;0010;1001;00;0000;001;101;0;0100101;000000100010100100000000110100100101
FOD_AI_B2:;27;0x1B;0x022880C25;NONE: 0000;PdRGd: 0010;DBUS: 0010;PmADR: 1000;READ: 10;NONE: 0000;JUMPI: 001;INDEX4: 100;T: 0;CLR: 0100101;0000;0010;0010;1000;10;0000;001;100;0;0100101;000000100010100010000000110000100101
FOD_AX_B2:;28;0x1C;0x06288C000;NONE: 0000;PdPCd: 0110;DBUS: 0010;PmADR: 1000;READ: 10;+2PC: 0011;STEP: 000;INDEX0: 000;T: 0;0: 0000000;0000;0110;0010;1000;10;0011;000;000;0;0000000;000001100010100010001100000000000000
FOD_AX_B2_z:;29;0x1D;0x923880C25;PdMDRs: 1001;PdRGd: 0010;SUM: 0011;PmADR: 1000;READ: 10;NONE: 0000;JUMPI: 001;INDEX4: 100;T: 0;CLR: 0100101;1001;0010;0011;1000;10;0000;001;100;0;0100101;100100100011100010000000110000100101
MOV:;30;0x1E;0x501900B34;PdTs: 0101;NONE: 0000;SBUS: 0001;PmMDR: 1001;NONE: 00;NONE: 0000;JUMPI: 001;INDEX3: 011;T: 0;WRD: 0110100;0101;0000;0001;1001;00;0000;001;011;0;0110100;010100000001100100000000101100110100
ADD:;31;0x1F;0x58391CB34;PdTs: 0101;PdMDRd: 1000;SUM: 0011;PmMDR: 1001;NONE: 00;"Cin,PdCONDaritm: 0111";JUMPI: 001;INDEX3: 011;T: 0;WRD: 0110100;0101;1000;0011;1001;00;0111;001;011;0;0110100;010110000011100100011100101100110100
SUB:;32;0x20;0x58391CB34;PdTsNeg: 0101;PdMDRd: 1000;SUM: 0011;PmMDR: 1001;NONE: 00;"Cin,PdCONDaritm: 0111";JUMPI: 001;INDEX3: 011;T: 0;WRD: 0110100;0101;1000;0011;1001;00;0111;001;011;0;0110100;010110000011100100011100101100110100
